ExperimentID,Scenario,Scenario_label,Humans,ROW_N,RandomPosition,MainActivity,TimeWeightedAverageMetabolicRate_kcal,AverageHumanProduction_crop_units,TotalHumanWorkload_kcal,TotalProductionCargoZone_crop_units,RemainingCropsHumanBags_crop_units,RemainingCropsBoxes_crop_units,RemainingCropsRobot_crop_units,TotalRecollectedCrops_crop_units
HUMAN_ONLY_1_ROW1_harv_ground_RP0_20260522_133033,0,Human-Only,1,1,0,harv_ground,4.95146954393999,101.0,9.87822499999978,90,11,0,0,101
HUMAN_ONLY_1_ROW1_harv_ladder_RP0_20260522_133050,0,Human-Only,1,1,0,harv_ladder,7.6713176801334,71.0,15.2976812500006,60,11,0,0,71
HUMAN_ONLY_1_ROW1_harv_picker_RP0_20260522_133107,0,Human-Only,1,1,0,harv_picker,5.42674764421083,87.0,10.82614375,75,12,0,0,87
HUMAN_ONLY_1_ROW1_harv_mixed_RP0_20260522_133124,0,Human-Only,1,1,0,harv_mixed,4.95146954393999,101.0,9.87822499999978,90,11,0,0,101
HUMAN_ONLY_1_ROW1_harv_ground_RP1_20260522_133141,0,Human-Only,1,1,1,harv_ground,4.95616908579754,105.0,9.91394999999974,90,15,0,0,105
HUMAN_ONLY_1_ROW1_harv_ladder_RP1_20260522_133158,0,Human-Only,1,1,1,harv_ladder,7.73750055185353,73.0,15.4670812500006,60,13,0,0,73
HUMAN_ONLY_1_ROW1_harv_picker_RP1_20260522_133214,0,Human-Only,1,1,1,harv_picker,5.44456947625998,90.0,10.882875,75,15,0,0,90
HUMAN_ONLY_1_ROW1_harv_mixed_RP1_20260522_133231,0,Human-Only,1,1,1,harv_mixed,4.95616908579754,105.0,9.91394999999974,90,15,0,0,105
HUMAN_ONLY_1_ROW2_harv_ground_RP0_20260522_133248,0,Human-Only,1,2,0,harv_ground,4.94409995835066,90.0,9.85438749999984,90,0,0,0,90
HUMAN_ONLY_1_ROW2_harv_ladder_RP0_20260522_133306,0,Human-Only,1,2,0,harv_ladder,7.53549593919212,66.0,14.9104812500005,60,6,0,0,66
HUMAN_ONLY_1_ROW2_harv_picker_RP0_20260522_133323,0,Human-Only,1,2,0,harv_picker,5.39248358756778,79.0,10.7081437500001,75,4,0,0,79
HUMAN_ONLY_1_ROW2_harv_mixed_RP0_20260522_133340,0,Human-Only,1,2,0,harv_mixed,4.94409995835066,90.0,9.85438749999984,90,0,0,0,90
HUMAN_ONLY_1_ROW2_harv_ground_RP1_20260522_133357,0,Human-Only,1,2,1,harv_ground,4.94409995835066,90.0,9.85438749999984,90,0,0,0,90
HUMAN_ONLY_1_ROW2_harv_ladder_RP1_20260522_133414,0,Human-Only,1,2,1,harv_ladder,7.53549593919212,66.0,14.9104812500005,60,6,0,0,66
HUMAN_ONLY_1_ROW2_harv_picker_RP1_20260522_133431,0,Human-Only,1,2,1,harv_picker,5.39248358756778,79.0,10.7081437500001,75,4,0,0,79
HUMAN_ONLY_1_ROW2_harv_mixed_RP1_20260522_133448,0,Human-Only,1,2,1,harv_mixed,4.94409995835066,90.0,9.85438749999984,90,0,0,0,90
HUMAN_ONLY_1_ROW3_harv_ground_RP0_20260522_133506,0,Human-Only,1,3,0,harv_ground,4.93337468763011,81.0,9.80623749999982,75,6,0,0,81
HUMAN_ONLY_1_ROW3_harv_ladder_RP0_20260522_133523,0,Human-Only,1,3,0,harv_ladder,7.34841718034164,60.0,14.4009125000005,60,0,0,0,60
HUMAN_ONLY_1_ROW3_harv_picker_RP0_20260522_133540,0,Human-Only,1,3,0,harv_picker,5.34391001145365,75.0,10.6616250000001,60,15,0,0,75
HUMAN_ONLY_1_ROW3_harv_mixed_RP0_20260522_133558,0,Human-Only,1,3,0,harv_mixed,4.93337468763011,81.0,9.80623749999982,75,6,0,0,81
HUMAN_ONLY_1_ROW3_harv_ground_RP1_20260522_133615,0,Human-Only,1,3,1,harv_ground,4.93294335693457,79.0,9.79798749999983,75,4,0,0,79
HUMAN_ONLY_1_ROW3_harv_ladder_RP1_20260522_133632,0,Human-Only,1,3,1,harv_ladder,7.32415533111215,60.0,14.4331125000005,60,0,0,0,60
HUMAN_ONLY_1_ROW3_harv_picker_RP1_20260522_133649,0,Human-Only,1,3,1,harv_picker,5.33765678883807,74.0,10.6307687500001,60,14,0,0,74
HUMAN_ONLY_1_ROW3_harv_mixed_RP1_20260522_133706,0,Human-Only,1,3,1,harv_mixed,4.93294335693457,79.0,9.79798749999983,75,4,0,0,79
HUMAN_ONLY_3_ROW1_harv_ground_RP0_20260522_133725,0,Human-Only,3,1,0,harv_ground,4.97705131021788,111.333333333333,29.828149999999,300,34,0,0,334
HUMAN_ONLY_3_ROW1_harv_ladder_RP0_20260522_133744,0,Human-Only,3,1,0,harv_ladder,7.96441036460518,74.6666666666667,47.585393750002,210,14,0,0,224
HUMAN_ONLY_3_ROW1_harv_picker_RP0_20260522_133803,0,Human-Only,3,1,0,harv_picker,5.51122798313211,94.0,33.01078125,255,27,0,0,282
HUMAN_ONLY_3_ROW1_harv_mixed_RP0_20260522_133822,0,Human-Only,3,1,0,harv_mixed,6.19047591541726,91.6666666666667,37.0074000000004,255,20,0,0,275
HUMAN_ONLY_3_ROW1_harv_ground_RP1_20260522_133841,0,Human-Only,3,1,1,harv_ground,4.97233241878377,108.666666666667,29.820849999999,300,26,0,0,326
HUMAN_ONLY_3_ROW1_harv_ladder_RP1_20260522_133859,0,Human-Only,3,1,1,harv_ladder,7.92267061901306,74.3333333333333,47.4349687500021,195,28,0,0,223
HUMAN_ONLY_3_ROW1_harv_picker_RP1_20260522_133918,0,Human-Only,3,1,1,harv_picker,5.49831181538951,92.3333333333333,32.95368125,255,22,0,0,277
HUMAN_ONLY_3_ROW1_harv_mixed_RP1_20260522_133937,0,Human-Only,3,1,1,harv_mixed,6.17318565094412,90.3333333333333,36.9292937500004,255,16,0,0,271
HUMAN_ONLY_3_ROW2_harv_ground_RP0_20260522_133956,0,Human-Only,3,2,0,harv_ground,4.95518129945852,96.0,29.6578624999993,270,18,0,0,288
HUMAN_ONLY_3_ROW2_harv_ladder_RP0_20260522_134014,0,Human-Only,3,2,0,harv_ladder,7.70459428102887,68.6666666666667,45.9656437500019,180,26,0,0,206
HUMAN_ONLY_3_ROW2_harv_picker_RP0_20260522_134033,0,Human-Only,3,2,0,harv_picker,5.43827873195205,83.3333333333333,32.5005562500001,225,25,0,0,250
HUMAN_ONLY_3_ROW2_harv_mixed_RP0_20260522_134052,0,Human-Only,3,2,0,harv_mixed,6.05716338678335,82.0,36.2361125000005,225,21,0,0,246
HUMAN_ONLY_3_ROW2_harv_ground_RP1_20260522_134111,0,Human-Only,3,2,1,harv_ground,4.95082046543103,91.6666666666667,29.6434249999994,270,5,0,0,275
HUMAN_ONLY_3_ROW2_harv_ladder_RP1_20260522_134130,0,Human-Only,3,2,1,harv_ladder,7.63925289549506,66.3333333333333,45.4332437500018,180,19,0,0,199
HUMAN_ONLY_3_ROW2_harv_picker_RP1_20260522_134149,0,Human-Only,3,2,1,harv_picker,5.4210849758782,80.0,32.3383062500002,225,15,0,0,240
HUMAN_ONLY_3_ROW2_harv_mixed_RP1_20260522_134208,0,Human-Only,3,2,1,harv_mixed,6.02436889577266,78.6666666666667,35.9560875000005,225,11,0,0,236
HUMAN_ONLY_3_ROW3_harv_ground_RP0_20260522_134227,0,Human-Only,3,3,0,harv_ground,4.9388814452311,83.3333333333333,29.4908999999994,225,25,0,0,250
